date,cash,stock_value,total_value
2016-11-03,1345473.299679699,6644668.470310999,7990141.7699906975
2016-11-04,1345473.299679699,6623540.310520002,7969013.610199701
2016-11-07,1345473.299679699,6608163.886032996,7953637.185712695
2016-11-08,1345473.299679699,6633525.588419999,7978998.888099698
2016-11-09,1345473.299679699,6630411.320811999,7975884.620491698
2016-11-10,1345473.299679699,6742866.121712001,8088339.421391699
2016-11-11,1345473.299679699,6718189.032119002,8063662.331798701
2016-11-14,1345473.299679699,6731057.135299,8076530.434978699
2016-11-15,1345473.299679699,6751577.951016998,8097051.250696696
2016-11-16,1345473.299679699,6710326.430022,8055799.7297017
2016-11-17,1345473.299679699,6679395.446159003,8024868.745838702
2016-11-18,1345473.299679699,6688333.260414998,8033806.560094697
2016-11-21,1345473.299679699,6752965.115047999,8098438.414727697
2016-11-22,1345473.299679699,6845137.380139002,8190610.679818701
2016-11-23,1345473.299679699,6805043.634653002,8150516.9343327
2016-11-24,1345473.299679699,6756580.780975002,8102054.080654701
2016-11-25,1345473.299679699,6737843.362906,8083316.662585698
2016-11-28,1345473.299679699,6733983.457319996,8079456.756999696
2016-11-29,1345473.299679699,6637776.894185999,7983250.193865698
2016-11-30,1345473.299679699,6600792.2575090015,7946265.557188701
2016-12-01,1345473.299679699,6679238.725643001,8024712.0253227
2016-12-02,1345473.299679699,6562700.844110002,7908174.143789701
2016-12-05,1345473.299679699,6570670.898316998,7916144.197996696
2016-12-06,1345473.299679699,6641506.740944,7986980.040623698
2016-12-07,1345473.299679699,6703468.532278004,8048941.831957703
2016-12-08,1345473.299679699,6626838.348945999,7972311.648625698
2016-12-09,1345473.299679699,6655419.6034659995,8000892.903145699
2016-12-12,1345473.299679699,6304232.420854999,7649705.720534697
2016-12-13,1345473.299679699,6334844.857833001,7680318.1575127
2016-12-14,1345473.299679699,6271300.425329001,7616773.7250087
2016-12-15,1345473.299679699,6321197.779347,7666671.079026699
2016-12-16,1345473.299679699,6435312.003228999,7780785.302908698
2016-12-19,1345473.299679699,6424881.011898001,7770354.3115777
2016-12-20,1345473.299679699,6434688.493261,7780161.792940699
2016-12-21,1345473.299679699,6482394.248519001,7827867.5481987
2016-12-22,1345473.299679699,6446457.493278995,7791930.792958694
2016-12-23,1345473.299679699,6403793.584272998,7749266.883952698
2016-12-26,1345473.299679699,6445321.538414001,7790794.8380937
2016-12-27,1345473.299679699,6451184.438309,7796657.737988699
2016-12-28,1345473.299679699,6367370.507133001,7712843.8068127
2016-12-29,1345473.299679699,6311996.6891830005,7657469.988862699
2016-12-30,1345473.299679699,6320445.044683,7665918.3443626985
2017-01-03,1345473.299679699,6398899.684756,7744372.984435698
2017-01-04,1345473.299679699,6526392.347038,7871865.646717699
2017-01-05,1345473.299679699,6543262.038994,7888735.3386737
2017-01-06,1345473.299679699,6508804.518848998,7854277.818528697
2017-01-09,1345473.299679699,6502206.815028998,7847680.114708697
2017-01-10,1345473.299679699,6474261.445099,7819734.744778698
2017-01-11,1345473.299679699,6384876.277855001,7730349.5775347
2017-01-12,1345473.299679699,6332133.771331,7677607.0710106995
2017-01-13,1345473.299679699,6236265.403661001,7581738.7033407
2017-01-16,1345473.299679699,5948071.032401001,7293544.3320806995
2017-01-17,1345473.299679699,6051533.067583998,7397006.367263697
2017-01-18,1345473.299679699,6032586.1003720015,7378059.4000517
2017-01-19,1345473.299679699,5985077.698454,7330550.9981336985
2017-01-20,1345473.299679699,6075329.354246002,7420802.6539257
2017-01-23,1345473.299679699,6150538.361456,7496011.6611357
2017-01-24,1345473.299679699,6123617.139007003,7469090.438686702
2017-01-25,1345473.299679699,6123663.247503003,7469136.5471827015
2017-01-26,1345473.299679699,6170782.0641749995,7516255.363854699
2017-02-03,1345473.299679699,6123830.696953002,7469303.996632701
2017-02-06,285215.92891326314,7280462.781728999,7565678.710642261
2017-02-07,285215.92891326314,7320522.367797,7605738.296710264
2017-02-08,285215.92891326314,7370328.295410998,7655544.224324262
2017-02-09,285215.92891326314,7444767.021506002,7729982.950419266
2017-02-10,285215.92891326314,7420725.167552001,7705941.0964652635
2017-02-13,285215.92891326314,7441385.836203001,7726601.765116265
2017-02-14,285215.92891326314,7428982.190360002,7714198.119273266
2017-02-15,285215.92891326314,7321480.529074,7606696.457987264
2017-02-16,285215.92891326314,7375795.001777003,7661010.930690266
2017-02-17,285215.92891326314,7294127.550438999,7579343.479352262
2017-02-20,285215.92891326314,7311139.875608999,7596355.804522263
2017-02-21,285215.92891326314,7384433.449984999,7669649.378898263
2017-02-22,285215.92891326314,7419915.860426004,7705131.789339267
2017-02-23,285215.92891326314,7398480.813235003,7683696.742148265
2017-02-24,285215.92891326314,7438477.727013,7723693.655926263
2017-02-27,285215.92891326314,7429989.299783999,7715205.228697263
2017-02-28,285215.92891326314,7467789.948951001,7753005.877864264
2017-03-01,285215.92891326314,7505515.953073,7790731.881986262
2017-03-02,285215.92891326314,7500825.068369001,7786040.997282265
2017-03-03,285215.92891326314,7508913.4788000025,7794129.407713266
2017-03-06,285215.92891326314,7562996.269588002,7848212.198501265
2017-03-07,285215.92891326314,7534346.683467003,7819562.612380266
2017-03-08,285215.92891326314,7520303.691443001,7805519.620356264
2017-03-09,285215.92891326314,7483063.221910999,7768279.150824262
2017-03-10,285215.92891326314,7549436.881434998,7834652.810348261
2017-03-13,285215.92891326314,7619223.867952001,7904439.796865264
2017-03-14,285215.92891326314,7583088.045813001,7868303.974726263
2017-03-15,285215.92891326314,7531694.122574002,7816910.051487265
2017-03-16,285215.92891326314,7626141.342373999,7911357.271287262
2017-03-17,285215.92891326314,7584453.4019720005,7869669.330885263
2017-03-20,285215.92891326314,7596161.232426002,7881377.161339264
2017-03-21,285215.92891326314,7600653.897775001,7885869.826688264
2017-03-22,285215.92891326314,7583925.195202,7869141.124115264
2017-03-23,285215.92891326314,7605987.750049001,7891203.678962264
2017-03-24,285215.92891326314,7611268.215492001,7896484.144405264
2017-03-27,285215.92891326314,7568320.449601002,7853536.378514266
2017-03-28,285215.92891326314,7548758.392554002,7833974.3214672655
2017-03-29,285215.92891326314,7491446.648096999,7776662.577010263
2017-03-30,285215.92891326314,7285664.49456,7570880.423473263
2017-03-31,285215.92891326314,7292275.594544,7577491.523457263
2017-04-05,285215.92891326314,7437724.709352002,7722940.638265265
2017-04-06,285215.92891326314,7438841.224365004,7724057.153278267
2017-04-07,285215.92891326314,7441732.790213998,7726948.719127262
2017-04-10,285215.92891326314,7377780.561945001,7662996.490858264
2017-04-11,285215.92891326314,7409819.423960999,7695035.352874262
2017-04-12,285215.92891326314,7308947.143858996,7594163.072772259
2017-04-13,285215.92891326314,7318957.286845004,7604173.215758268
2017-04-14,285215.92891326314,7171176.561314001,7456392.490227263
2017-04-17,285215.92891326314,7053735.378917002,7338951.307830265
2017-04-18,285215.92891326314,6960464.638757002,7245680.567670265
2017-04-19,285215.92891326314,6838530.705318,7123746.634231264
2017-04-20,285215.92891326314,6789938.983708,7075154.912621263
2017-04-21,285215.92891326314,6783382.753154003,7068598.682067266
2017-04-24,285215.92891326314,6525731.438690002,6810947.367603265
2017-04-25,285215.92891326314,6533312.592012999,6818528.520926261
2017-04-26,285215.92891326314,6557952.323403002,6843168.252316264
2017-04-27,285215.92891326314,6601547.775713999,6886763.704627262
2017-04-28,285215.92891326314,6671275.720448,6956491.649361264
2017-05-02,285215.92891326314,6678043.340700002,6963259.269613266
2017-05-03,1312028.7853601677,5664328.906319001,6976357.6916791685
2017-05-04,1312028.7853601677,5659033.418996998,6971062.204357166
2017-05-05,1312028.7853601677,5555938.996964999,6867967.782325166
2017-05-08,1312028.7853601677,5391771.0199850015,6703799.805345169
2017-05-09,1312028.7853601677,5444064.623580001,6756093.408940169
2017-05-10,1312028.7853601677,5336335.69501,6648364.480370168
2017-05-11,1312028.7853601677,5330193.846404999,6642222.631765166
2017-05-12,1312028.7853601677,5329495.106785003,6641523.892145171
2017-05-15,1312028.7853601677,5339932.835636,6651961.620996168
2017-05-16,1312028.7853601677,5455425.3217939995,6767454.107154167
2017-05-17,1312028.7853601677,5466794.448903001,6778823.234263169
2017-05-18,1312028.7853601677,5407935.339605999,6719964.124966167
2017-05-19,1312028.7853601677,5387260.009407001,6699288.794767168
2017-05-22,1312028.7853601677,5293911.684198998,6605940.469559166
2017-05-23,1312028.7853601677,5095964.202935002,6407992.98829517
2017-05-24,1312028.7853601677,5104883.307547,6416912.092907168
2017-05-25,1312028.7853601677,5142099.827873001,6454128.613233169
2017-05-26,1312028.7853601677,5114352.3616430005,6426381.147003168
2017-05-31,1312028.7853601677,5100613.467736001,6412642.253096169
2017-06-01,1312028.7853601677,4925075.663973999,6237104.449334167
2017-06-02,1312028.7853601677,4970912.144987999,6282940.930348167
2017-06-05,1312028.7853601677,5028469.152394999,6340497.937755167
2017-06-06,1312028.7853601677,5052490.569739997,6364519.355100165
2017-06-07,1312028.7853601677,5160891.109293998,6472919.894654166
2017-06-08,1312028.7853601677,5164185.3105609985,6476214.095921166
2017-06-09,1312028.7853601677,5183828.054884002,6495856.840244169
2017-06-12,1312028.7853601677,5113997.719755999,6426026.505116167
2017-06-13,1312028.7853601677,5183637.350566002,6495666.135926169
2017-06-14,1312028.7853601677,5199158.111895,6511186.897255167
2017-06-15,1312028.7853601677,5263174.040370998,6575202.825731166
2017-06-16,1312028.7853601677,5256908.440108002,6568937.22546817
2017-06-19,1312028.7853601677,5304786.386505001,6616815.171865169
2017-06-20,1312028.7853601677,5316024.709786999,6628053.495147167
2017-06-21,1312028.7853601677,5343061.215927,6655090.001287168
2017-06-22,1312028.7853601677,5249758.267038001,6561787.0523981685
2017-06-23,1312028.7853601677,5258466.466769001,6570495.252129169
2017-06-26,1312028.7853601677,5335180.875831,6647209.661191167
2017-06-27,1312028.7853601677,5332150.228979999,6644179.014340167
2017-06-28,1312028.7853601677,5315208.120874,6627236.9062341675
2017-06-29,1312028.7853601677,5330380.786362998,6642409.571723166
2017-06-30,1312028.7853601677,5349083.191261,6661111.976621168
2017-07-03,1312028.7853601677,5400756.5948210005,6712785.380181168
2017-07-04,1312028.7853601677,5389118.970796,6701147.756156168
2017-07-05,1312028.7853601677,5430432.192184999,6742460.977545166
2017-07-06,1312028.7853601677,5474676.271892,6786705.057252168
2017-07-07,1312028.7853601677,5504022.103839001,6816050.889199168
2017-07-10,1312028.7853601677,5495400.424987001,6807429.210347169
2017-07-11,1312028.7853601677,5423936.957138001,6735965.742498169
2017-07-12,1312028.7853601677,5443789.975437999,6755818.7607981665
2017-07-13,1312028.7853601677,5463817.709234,6775846.494594168
2017-07-14,1312028.7853601677,5439193.466903,6751222.252263168
2017-07-17,1312028.7853601677,5178891.958195002,6490920.74355517
2017-07-18,1312028.7853601677,5227616.797194999,6539645.582555166
2017-07-19,1312028.7853601677,5320383.355048999,6632412.140409167
2017-07-20,1312028.7853601677,5358602.618184,6670631.403544168
2017-07-21,1312028.7853601677,5361240.865318001,6673269.650678169
2017-07-24,1312028.7853601677,5404411.841050999,6716440.626411167
2017-07-25,1312028.7853601677,5398162.085668999,6710190.8710291665
2017-07-26,1312028.7853601677,5391810.366962001,6703839.152322168
2017-07-27,1312028.7853601677,5439155.098441001,6751183.883801169
2017-07-28,1312028.7853601677,5455723.085633999,6767751.8709941665
2017-07-31,1312028.7853601677,5525710.292472001,6837739.077832169
2017-08-01,315385.0642992261,6517602.894885998,6832987.959185224
2017-08-02,315385.0642992261,6460145.232278,6775530.296577225
2017-08-03,315385.0642992261,6471679.631782999,6787064.696082225
2017-08-04,315385.0642992261,6435807.251822001,6751192.316121227
2017-08-07,315385.0642992261,6492421.3007310005,6807806.365030226
2017-08-08,315385.0642992261,6516946.852211999,6832331.916511225
2017-08-09,315385.0642992261,6536306.272275999,6851691.336575225
2017-08-10,315385.0642992261,6494357.341847998,6809742.406147224
2017-08-11,315385.0642992261,6392350.536069,6707735.600368226
2017-08-14,315385.0642992261,6541011.889759001,6856396.954058227
2017-08-15,315385.0642992261,6551307.063903,6866692.128202226
2017-08-16,315385.0642992261,6565415.515875,6880800.580174225
2017-08-17,315385.0642992261,6630795.220292,6946180.284591226
2017-08-18,315385.0642992261,6616331.68801,6931716.7523092255
2017-08-21,315385.0642992261,6682729.208976,6998114.273275225
2017-08-22,315385.0642992261,6647750.169243998,6963135.233543224
2017-08-23,315385.0642992261,6609890.826797996,6925275.8910972215
2017-08-24,315385.0642992261,6584745.872962999,6900130.937262225
2017-08-25,315385.0642992261,6644737.702478,6960122.766777226
2017-08-28,315385.0642992261,6723754.453873001,7039139.518172227
2017-08-29,315385.0642992261,6702715.543392001,7018100.6076912265
2017-08-30,315385.0642992261,6731126.445999999,7046511.510299224
2017-08-31,315385.0642992261,6764818.786309004,7080203.85060823
2017-09-01,315385.0642992261,6834456.061638001,7149841.125937227
2017-09-04,315385.0642992261,6888666.251523,7204051.315822226
2017-09-05,315385.0642992261,6878979.244718997,7194364.309018223
2017-09-06,315385.0642992261,6900760.741714,7216145.806013226
2017-09-07,315385.0642992261,6842628.616017,7158013.680316226
2017-09-08,315385.0642992261,6847354.390327998,7162739.454627224
2017-09-11,315385.0642992261,6889187.0444990015,7204572.108798227
2017-09-12,315385.0642992261,6925975.773604001,7241360.837903227
2017-09-13,315385.0642992261,6964852.214987,7280237.279286226
2017-09-14,315385.0642992261,6953599.042913999,7268984.107213225
2017-09-15,315385.0642992261,6910454.306706,7225839.371005226
2017-09-18,315385.0642992261,6977645.926924001,7293030.991223227
2017-09-19,315385.0642992261,6949696.079057998,7265081.143357224
2017-09-20,315385.0642992261,7010047.669630002,7325432.733929228
2017-09-21,315385.0642992261,6898283.289960999,7213668.354260225
2017-09-22,315385.0642992261,6845366.377695999,7160751.441995225
2017-09-25,315385.0642992261,6721123.247616,7036508.311915225
2017-09-26,315385.0642992261,6744037.447000999,7059422.511300225
2017-09-27,315385.0642992261,6777419.767780001,7092804.832079227
2017-09-28,315385.0642992261,6751159.660328997,7066544.724628223
2017-09-29,315385.0642992261,6825767.386602,7141152.450901226
2017-10-09,315385.0642992261,6879260.589264003,7194645.653563228
2017-10-10,315385.0642992261,6916866.205133,7232251.269432226
2017-10-11,315385.0642992261,6933260.707451999,7248645.771751225
2017-10-12,315385.0642992261,6919351.788672002,7234736.852971228
2017-10-13,315385.0642992261,6977338.867376999,7292723.931676225
2017-10-16,315385.0642992261,6884694.818545002,7200079.882844227
2017-10-17,315385.0642992261,6872296.248854999,7187681.313154225
2017-10-18,315385.0642992261,6860639.030494001,7176024.094793227
2017-10-19,315385.0642992261,6781473.613322002,7096858.677621228
2017-10-20,315385.0642992261,6836558.199719001,7151943.264018226
2017-10-23,315385.0642992261,6866303.463600999,7181688.527900225
2017-10-24,315385.0642992261,6861820.489465002,7177205.553764228
2017-10-25,315385.0642992261,6905415.418942,7220800.483241226
2017-10-26,315385.0642992261,6927418.523059999,7242803.587359224
2017-10-27,315385.0642992261,6869400.037837002,7184785.102136228
2017-10-30,315385.0642992261,6702630.630260999,7018015.694560225
2017-10-31,315385.0642992261,6779179.028866,7094564.093165225
2017-11-01,89415.29064690902,7013655.911979004,7103071.202625913
2017-11-02,89415.29064690902,6939581.429862001,7028996.72050891
2017-11-03,89415.29064690902,6867692.124003,6957107.414649908
2017-11-06,89415.29064690902,7002952.1062819995,7092367.396928908
2017-11-07,89415.29064690902,7034087.622449,7123502.913095909
2017-11-08,89415.29064690902,7057689.103902999,7147104.394549908
2017-11-09,89415.29064690902,7125642.177130999,7215057.467777908
2017-11-10,89415.29064690902,7186811.827931003,7276227.1185779115
